REG_SNL_INSTN_KEY,year,CompanyName,CompanyType,PrimaryRegulator,YearEstablished,ParentName,ParentInstitutionKey,CountyandState,ZipCode,State,Initial_Scale,status,lobby_status,severe,capital_adequacy,asset_quality,management_quality,earning,liquidity,sensitivity_to_market_risk,deposit_to_asset_ratio,leverage,total_core_deposit,size,age,growth,distance,initial_market_size
1008112,2010,Ciera Bank,Commercial Bank,FED,1890,"First Graham Bancorp, Inc.",1018881,"Young, TX",76450,TX,113435,1,0,0,15.689938,-1.73,0,0.036561441,13.229205,1.3440589,88.436783,10.49,191001,225292,120,10.99303312,2037.481664809054,3.65804E-05
1008116,2010,First Bank of Thomas,Commercial Bank,FED,1902,First Thomas Ban Corp.,1017241,"Custer, OK",73669,OK,39806,1,0,0,29.165661,-1.97,0,0.032753922,12.346229,21.422009,83.231476,15.76,30646,37797,108,8.877284595,1947.774118750856,6.76737E-05
1008119,2010,Citizens State Bank,Commercial Bank,FED,1934,"Hope Bancshares, Inc.",1022846,"Cloud, KS",67466,KS,19631,1,0,0,17.688276,-1.24,0,0.035957109,14.63652,16.581629,90.362953,10,24501,29563,76,-0.891677675,1759.127137661911,4.03244E-05
1008120,2010,"Titan Bank, N.A.",Commercial Bank,OCC,1907,"BMC Bancshares, Inc.",4223453,"Palo Pinto, TX",76067,TX,18057,1,0,0,21.509653,-1.14,0,0.034360949,37.185646,14.602381,87.769211,10.76,39095,46710,103,2.464788732,2008.470816098726,5.8230039e-06
1008121,2010,National Bank and Trust Company,Commercial Bank,OCC,1859,Peoples Bancorp Inc.,100532,"Clinton, OH",45177,OH,520552,1,0,0,15.437602,-0.89999998,0,0.036251631,13.743736,2.6958492,85.967819,9.4499998,580301,689900,151,0.634833011,589.8330606297425,5.92395E-05
1008122,2010,Chickasha Bank & Trust Company,Commercial Bank,FED,1973,"B.O.E. Bancshares, Inc.",1017645,"Grady, OK",73018,OK,66642,1,0,0,12.550877,-1.1799999,0,0.046320815,21.222847,4.0510974,89.707993,8.6599998,145388,191469,37,5.862501205,1903.826798421043,0.000113297
1008124,2010,United Farmers State Bank,Commercial Bank,FDIC,1915,"Adams Bancshares, Inc.",1019489,"Mower, MN",55909,MN,41326,1,0,0,15.467748,-1.72,0,0.039724313,8.5803928,1.7956252,82.222427,11.58,59534,76754,95,3.095600248,1407.434582972804,2.30146E-05
1008128,2010,Bank Plus,Commercial Bank,FDIC,1947,"Swea City Bancorporation, Inc.",1021571,"Emmet, IA",51334,IA,68177,1,0,0,12.172425,-0.92000002,0,0.043195307,5.0957947,0.86204082,79.141937,10.16,65295,88968,63,7.632682838,1568.546728,0.000130367
1008131,2010,Generations Bank,Commercial Bank,FDIC,1907,"Harrell Bancshares, Inc.",1024867,"Benton, AR",72758,AR,42549,1,0,0,12.363214,-1.28,0,0.027842462,2.2831707,2.2906902,90.003479,9.7299995,209481,247356,103,1.912109334,1533.397826598336,0.000120965
1008133,2010,INSOUTH Bank,Commercial Bank,FED,1869,"Independent Southern Bancshares, Inc.",1018632,"Haywood, TN",38012,TN,632576,1,0,1,10.359799,-3.6800001,0,0.035333846,15.00235,7.1935301,93.18959,6.4200001,258822,352976,141,-1.766587325,1142.605434380084,0.000735082
1008138,2010,First National Bank of Southern Kansas,Commercial Bank,OCC,1883,"First Kansas Bancshares, Inc.",1020391,"Sedgwick, KS",67108,KS,32263,1,0,0,11.934896,-2.26,0,0.033160295,28.406511,15.761837,90.709747,7.8200002,59462,67038,127,-2.244070296,1799.610058849584,6.6272E-05
1008139,2010,The First National Bank of Granbury,Commercial Bank,OCC,1887,First Granbury Bancorporation,1018784,"Hood, TX",76048,TX,196524,1,0,0,19.823517,-1.0599999,0,0.03236299,6.9206281,7.0636048,89.608238,10.04,340491,389828,123,3.632837073,2002.815563589601,6.33749E-05
1008140,2010,First National Bank,Commercial Bank,OCC,1976,"Marion County Bancshares, Inc.",1019803,"Marion, AL",35570,AL,152835,1,0,0,21.521788,-1.45,0,0.036753811,7.3484936,36.414982,78.652863,11.91,185038,271999,34,2.613254362,1112.622264279748,9.105E-05
1008141,2010,First National Bank of Nokomis,Commercial Bank,OCC,1940,"First Nokomis Bancorp, Inc.",1021993,"Montgomery, IL",62075,IL,50222,1,0,0,16.896526,-0.95999998,0,0.034353826,11.898717,8.6043768,86.149841,10.66,111804,135327,70,4.899436286,1057.948220085537,1.43259E-05
1008143,2010,Altura State Bank,Commercial Bank,FDIC,1910,"WRZ Bankshares, Inc.",1022691,"Winona, MN",55910,MN,34179,1,0,0,20.052813,-0.85000002,0,0.03570801,13.735575,8.69522,84.11367,13.84,37954,45536,100,6.009142373,1370.620962711903,1.90344E-05
1008148,2010,The Bank of Missouri,Commercial Bank,FDIC,1891,"Reliable Community Bancshares, Inc.",1022518,"Perry, MO",63775,MO,140813,1,0,0,10.155159,-1.55,0,0.037513148,1.212275,19.941584,78.07518,8.5500002,509050,825284,119,5.372870405,1127.924462337529,0.000112953
1008150,2010,"Morgantown Bank & Trust Company, Incorporated",Commercial Bank,FDIC,1880,"Morgantown Deposit Bancorp, Inc.",1019142,"Butler, KY",42261,KY,96460,1,0,0,13.621215,-1.2,0,0.033684578,3.1705742,10.324495,83.446198,9.3800001,107129,131722,130,3.793759513,867.8591733823471,0.000221701
1008154,2010,Richland County Bank,Commercial Bank,FDIC,1881,"Richland County Bancshares, Inc.",4040592,"Richland, WI",53581,WI,106669,1,0,0,39.700077,-1.39,0,0.030887593,7.4895148,7.7829885,79.066551,19.780001,82273,105544,129,6.153794448,1220.448710161562,9.85918E-05
1008155,2010,Nekoma State Bank,Commercial Bank,FDIC,1916,SJN Banc Co,4054717,"Rush, KS",67548,KS,19872,1,0,0,16.186588,-1.6900001,0,0.035508499,1.212275,4.6983857,90.07283,8.6700001,30795,34189,94,3.31095349,1928.562362646874,4.08194E-05
