"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"American Bankers Assn","$1890000",""," Alison F Watson ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn","$1890000",""," Edward L Yingling ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$140000",""," Beth L Climo ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$140000",""," J Kevin A McKechnie ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$140000",""," James D McLaughlin ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Assn Securities Assn","$140000",""," Sarah A Miller ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," Beth L Climo ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," J Kevin A McKechnie ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," E Kenneth Reynolds ","No Revolving Door Profiles","Non Former Members of Congress"
"American Bankers Insurance Assn","$120000",""," Paul A Smith ","No Revolving Door Profiles","Non Former Members of Congress"
"Barnett Sivon & Natter","$40000","American Bankers Insurance Assn"," James C Sivon ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Jeffrey Bergner ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," David Bockorny ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Charles M Brain ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," David Castagnetti ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," James III Hawkins ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Margaret Smith Hemmer ","No Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Alvin B Jackson ","No Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Brenda Reese ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Melissa Schulman ","Revolving Door Profiles","Non Former Members of Congress"
"Bergner Bockorny et al","$80000","American Bankers Assn"," Scott B Styles ","Revolving Door Profiles","Non Former Members of Congress"
"Butera & Andrews","$60000","American Bankers Assn"," Philip Corwin ","Revolving Door Profiles","Non Former Members of Congress"
"Cashdollar-Jones & Co","$0","American Bankers Assn"," Robert Cashdollar ","No Revolving Door Profiles","Non Former Members of Congress"
"Clark Steve","$40000","American Bankers Assn"," Steve Clark ","No Revolving Door Profiles","Non Former Members of Congress"
"Covington & Burling","$60000","American Bankers Assn"," John C Dugan ","Revolving Door Profiles","Non Former Members of Congress"
"Goodwin Procter & Hoar","$0","Massachusetts Bankers Assn"," Jeremiah S Buckley ","Revolving Door Profiles","Non Former Members of Congress"
"Goodwin Procter & Hoar","$0","Massachusetts Bankers Assn"," Margo HK Tank ","Revolving Door Profiles","Non Former Members of Congress"
"LaRocco & Assoc","$18000","American Bankers Assn"," Larry LaRocco ","Revolving Door Profiles","Former Members of Congress"
"LaRocco & Assoc","$18000","American Bankers Assn"," Matthew L LaRocco ","Revolving Door Profiles","Non Former Members of Congress"
"Law Offices of Thomas L Farmer","$180000","American Bankers Assn"," Thomas L Farmer ","No Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$20000","Florida Bankers Assn"," Leonard Jr Bickwit ","Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$20000","Florida Bankers Assn"," David B Blair ","No Revolving Door Profiles","Non Former Members of Congress"
"Miller & Chevalier","$20000","Florida Bankers Assn"," Lawrence B Gibbs ","Revolving Door Profiles","Non Former Members of Congress"
"New York Bankers Assn","$120000",""," Karen Armstrong ","No Revolving Door Profiles","Non Former Members of Congress"
"New York Bankers Assn","$120000",""," William J Bosies ","No Revolving Door Profiles","Non Former Members of Congress"
"New York Bankers Assn","$120000",""," Roberta Kotkin ","No Revolving Door Profiles","Non Former Members of Congress"
"New York Bankers Assn","$120000",""," Michael P Smith ","Revolving Door Profiles","Non Former Members of Congress"
"Pennsylvania Bankers Assn","$165497",""," James R Biery ","No Revolving Door Profiles","Non Former Members of Congress"
"Pennsylvania Bankers Assn","$165497",""," Louise A Rynd ","No Revolving Door Profiles","Non Former Members of Congress"
"Thacher Proffitt & Wood","$10000","California Bankers Assn"," Louis H Nevins ","No Revolving Door Profiles","Non Former Members of Congress"
"Van Scoyoc Assoc","$100000","American Bankers Assn"," Lendell W Porterfield ","Revolving Door Profiles","Non Former Members of Congress"
"Van Scoyoc Assoc","$100000","American Bankers Assn"," H Stewart Van Scoyoc ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","American Bankers Assn"," David M Landers ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","American Bankers Assn"," Michael McGregor ","No Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","American Bankers Assn"," Thomas J Rosenkoetter ","Revolving Door Profiles","Non Former Members of Congress"
"Williams & Jensen","$40000","American Bankers Assn"," Jeffrey A Tassey ","Revolving Door Profiles","Non Former Members of Congress"
